EC_protein,EC_accession,SE_protein,SE_accession
peptidyl-lysine <i>N</i>-acetyltransferase,b2584,protein lysine acetyltransferase,STM2651
peptidyl-lysine <i>N</i>-acetyltransferase YiaC,b3550,N-terminal methionine <em>N</em><small><sup>&alpha;</sup></small>-acetyltransferase NatA,STM3643
peptidyl-lysine <i>N</i>-acetyltransferase YjaB,b4012,putative acetyltransferase,STM4029
peptidyl-prolyl <i>cis-trans</i> isomerase A,b3363,peptidylprolyl isomerase A,STM3472
peptidyl-prolyl <i>cis-trans</i> isomerase B,b0525,peptidylprolyl isomerase,STM3910
peptidyl-prolyl <i>cis-trans</i> isomerase C,b3775,peptidylprolyl isomerase,STM3910
peptidyl-prolyl <i>cis-trans</i> isomerase FklB,b4207,FKBP-type 22KD peptidyl-prolyl cis-trans isomerase,STM4397
peptidyl-prolyl <i>cis-trans</i> isomerase FkpB,b0028,peptidylprolyl isomerase,STM3910
peptidyl-prolyl <i>cis-trans</i> isomerase/OMP chaperone FkpA,b3347,FKBP-type peptidyl-prolyl cis-trans isomerase,STM3453
peptidyl-tRNA hydrolase,b1204,peptidyl-tRNA hydrolase,STM1783
"peptidyl-tRNA hydrolase, ribosome rescue factor",b0191,aminoacyl-tRNA hydrolase,STM0240
periplasmic acid stress chaperone HdeB,b3509,,
periplasmic bacteriophage sensitivity protein DcrB,b3472,,
periplasmic chaperone OsmY,b4376,molecular chaperone,STM0012
periplasmic chaperone Skp,b0178,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,STM0226
periplasmic folding chaperone,b0441,,
periplasmic heme chaperone,b2197,,
periplasmic nitrate reductase cytochrome c protein,b2202,cytochrome c-type protein,STM2255
periplasmic nitrate reductase cytochrome c<SUB>550</SUB> protein,b2203,nitrate reductase,STM2256
periplasmic nitrate reductase subunit NapA,b2206,nitrate reductase catalytic subunit,STM2259
periplasmic nitrite reductase penta-heme <i>c</i>-type cytochrome,b4071,cytochrome <i>c</i>-type protein,STM4278
periplasmic protease YcaL,b0909,metalloprotease,STM0979
periplasmic protein CpxP,b4484,stress adaptor protein,STM4060
periplasmic protein involved in nickel/cobalt export,b2107,,
periplasmic serine endoprotease,b3234,serine endoprotease,STM0209
periplasmic serine endoprotease DegP,b0161,serine endoprotease,STM0209
periplasmic trehalase,b1197,"alpha,alpha-trehalase",STM3603
periplasmic trimethylamine-N-oxide binding protein,b0994,TMAO reductase system periplasmic protein,STM3825
PF01062 family inner membrane protein YneE,b1520,,
PF01894 family protein YjbQ,b4056,hypothetical protein,STM0387
PF02021 family protein YraN,b3148,YraN family protein,STM3265
PF02464 family protein YdeJ,b1537,competence protein,STM1514
PF02567 family protein YddE,b1464,Uncharacterized isomerase,STM1581
PF03458 family inner membrane protein YicG,b3646,,
PF03458 family protein YadS,b0157,putative inner membrane protein,STM1849
PF03601 family inner membrane protein YeiH,b2158,UPF0324 inner membrane protein,STM2202
PF03631 family membrane protein YihY,b3886,UPF0761 membrane protein,STM4027
PF03695 family protein YgfB,b2909,hypothetical protein,STM0387
PF03706 family inner membrane protein YbhN,b0788,putative negative regulator,STM2413
PF03733 family inner membrane protein YccF,b0961,putative inner membrane protein,STM1849
PF03741 family inner membrane protein YgdQ,b2832,putative integral membrane transport protein,STM3006
PF03887 family protein YfbU,b2294,hypothetical protein,STM0387
PF03932 family protein CutC,b1874,copper homeostasis protein,STM1907
PF03966 family protein YcaR,b0917,hypothetical protein,STM0387
PF04217 family membrane protein YfbV,b2295,UPF0208 membrane protein,STM2336
PF04226 family protein YeaQ,b1795,putative inner membrane protein,STM1849
PF04226 family protein YmgE,b1195,DNA-3-methyladenine glycosylase I,STM3642
PF04237 family protein YbdF,b0579,putative cytoplasmic protein,STM0383
PF04237 family protein YjbR,b4057,putative cytoplasmic protein,STM0383
PF04293 family protein YcgB,b1188,SpoVR family protein,STM1804
PF04307 family inner membrane protein YbcI,b0527,putative membrane-bound metal-dependent hydrolases,STM0540
PF04328 family protein YbdD,b4512,putative cytoplasmic protein,STM0383
PF04328 family protein YjiX,b4353,putative cytoplasmic protein,STM0383
PF04375 family protein HemX,b3803,uroporphyrinogen-III C-methyltransferase,STM3936
PF05166 family protein YcgL,b1179,putative cytoplasmic protein,STM0383
PF05360 family inner membrane protein YiaB,b3563,putative inner membrane protein,STM1849
PF05433 family protein YcfJ,b1110,putative outer membrane lipoprotein,STM4223
PF05666 family protein YcgJ,b1177,,
PF05728 family protein YcfP,b1108,hypothetical protein,STM0387
PF05981 family protein CreA,b4397,hypothetical protein,STM0387
PF06062 family protein YacL,b0119,UPF0231 family protein,STM0160
PF06786 family protein YaeP,b4406,putative cytoplasmic protein,STM0383
PF06788 family lipoprotein YnfC,b1585,putative inner membrane lipoprotein,STM4039
PF06794 family protein YheU,b3354,hypothetical protein,STM0387
PF06977 family protein YjiK,b4333,,
PF06983 family protein YjdN,b4107,VOC family protein,STM0235
PF07947 family protein YhhN,b3468,putative inner membrane protein,STM1849
PF08891 family protein YfcL,b2325,putative cytoplasmic protein,STM0383
PF09600 family protein YbgE,b0735,cyd operon protein,STM0743
PF09619 family lipoprotein YbaY,b0453,Glycoprotein/polysaccharide metabolism,STM0465
PF09695 family protein YtfJ,b4216,putative transcriptional regulator,STM3696
PF10636 family protein YdiE,b1705,hemin uptake protein hemP,STM1346
PF10945 family protein YhjR,b3535,putative cytoplasmic protein,STM0383
PF12843 family protein YpeB,b4546,,
PF13488 family lipoprotein YiaD,b3552,OmpA family lipoprotein,STM3645
PF13980 family protein YpfN,b4547,,
PF13985 family protein YbgS,b0753,Uncharacterized protein,STM1586
PF13993 family protein YccJ,b1003,putative cytoplasmic protein,STM0383
PF13997 family protein YqjK,b3100,putative inner membrane protein,STM1849
phage shock protein A,b1304,phage shock protein,STM1690
phage shock protein B,b1305,phage shock protein B,STM1689
phage shock protein C,b1306,DNA-binding transcriptional activator,STM1688
phage shock protein D,b1307,phage shock protein D,STM1687
phage shock protein G,b4050,phage shock protein G,STM4244
PHB domain-containing protein QmcA,b0489,paraslipin,STM0501
phenylacetaldehyde dehydrogenase,b1385,,
phenylalanine&mdash;tRNA ligase,b1714,phenylalanine--tRNA ligase,
phenylalanine&mdash;tRNA ligase subunit &beta;,b1713,phenylalanine--tRNA ligase subunit beta,STM1338
phenylalanine:H+ symporter PheP,b0576,phenylalanine transporter,STM0568
PhoH-like protein,b0660,"putative phosphate starvation-inducible protein, ATP-binding",STM0669
PhoQ kinase inhibitor,b1826,PhoP regulon feedback inhibition protein,STM1840
phosphatase NudJ,b1134,NUDIX hydrolase,STM1235
phosphate ABC transporter ATP binding subunit,b3725,,
phosphate ABC transporter membrane subunit PstA,b3726,,
phosphate ABC transporter membrane subunit PstC,b3727,,
phosphate ABC transporter periplasmic binding protein,b3728,,
phosphate acetyltransferase,b2297,phosphate acetyltransferase,STM2466
phosphate acetyltransferase EutD,b2458,phosphate acetyltransferase,STM2466
phosphate starvation-inducible protein PsiF,b0384,Induced by phosphate starvation,STM0384
phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,b2828,prolipoprotein diacylglyceryl transferase,STM3002
phosphatidylglycerophosphatase A,b0418,phosphatidylglycerophosphatase A,STM0420
phosphatidylglycerophosphatase B,b1278,phosphatidylglycerophosphatase B,STM1710
phosphatidylglycerophosphatase C,b2560,acid phosphatase,STM2569
phosphatidylserine decarboxylase proenzyme,b4160,phosphatidylserine decarboxylase,STM4348
phosphatidylserine synthase,b2585,phosphatidylserine synthase,STM2652
phospho-N-acetylmuramoyl-pentapeptide-transferase,b0087,phospho-N-acetylmuramoyl-pentapeptide- transferase,STM0125
phosphoenolpyruvate carboxykinase (ATP),b3403,phosphoenolpyruvate carboxykinase (ATP),STM3500
phosphoadenosine phosphosulfate reductase,b2762,phosphoadenosine phosphosulfate reductase,STM0605
phosphocarrier protein HPr,b2415,HPr family phosphocarrier,STM2431
phosphodiesterase YfcE,b2300,YfcE family phosphodiesterase,STM2347
phosphoenolpyruvate carboxylase,b3956,phosphoenolpyruvate carboxylase,STM4119
phosphoenolpyruvate synthetase,b1702,phosphoenolpyruvate synthase,STM1349
phosphoenolpyruvate synthetase regulatory protein,b1703,phosphoenolpyruvate synthase regulatory protein,STM1348
phosphoenolpyruvate-protein phosphotransferase PtsP,b2829,phosphoenolpyruvate--protein phosphotransferase,STM3003
phosphoethanolamine transferase EptA,b4114,phosphoethanolamine transferase EptA,STM4293
phosphoethanolamine transferase EptB,b3546,lipid A phosphoethanolamine transferase,STM3635
phosphoethanolamine transferase EptC,b3955,Phosphoethanolamine transferase,STM4118
phosphoethanolamine transferase OpgE,b0815,phosphoethanolamine transferase,STM0834
phosphoglucomutase,b0688,a phosphoglucomutase,
phosphogluconate dehydratase,b1851,phosphogluconate dehydratase,STM1885
phosphoglucosamine mutase,b3176,phosphoglucosamine mutase,STM3294
phosphoglycerate dehydrogenase,b2913,D-3-phosphoglycerate dehydrogenase,STM3062
phosphoglycerate kinase,b2926,phosphoglycerate kinase,STM3069
phosphoglycerol transferase I,b4359,phosphoglycerol transferase I,STM4541
phosphoglycolate phosphatase,b3385,phosphoglycolate phosphatase,STM3482
phosphohistidine phosphatase SixA,b2340,phosphohistidine phosphatase,STM2387
phospholipid transport factor YhdP,b4472,TIGR02099 family protein,STM3369
phosphomannomutase,b2048,phosphomannomutase,STM2104
phosphomethylpyrimidine synthase,b3994,phosphomethylpyrimidine synthase,STM4164
phosphopantetheinyl transferase EntD,b0583,phosphopantetheinyl transferase,STM0584
phosphopentomutase,b4383,phosphopentomutase,STM4569
phosphoprotein phosphatase 1,b1838,serine/threonine-protein phosphatase,STM1853
phosphoprotein phosphatase 2,b2734,serine/threonine protein phosphatase,STM2907
phosphorelay protein NPr,b3206,HPr family phosphocarrier,STM2431
phosphoribosylamine--glycine ligase,b4005,phosphoribosylamine--glycine ligase,STM4175
phosphoribosylaminoimidazole-succinocarboxamide synthase,b2476,phosphoribosylaminoimidazolesuccinocarboxamide synthase,STM2487
phosphoribosylformylglycinamide cyclo-ligase,b2499,phosphoribosylformylglycinamidine synthase,STM2565
phosphoribosylformylglycinamide synthetase,b2557,,
phosphoribosylglycinamide formyltransferase 1,b2500,phosphoribosylglycinamide formyltransferase,STM2500
phosphoribosylglycinamide formyltransferase 2,b1849,phosphoribosylglycinamide formyltransferase 2,STM1883
phosphoserine phosphatase,b4388,,
phosphoserine/phosphohydroxythreonine aminotransferase,b0907,phosphoserine transaminase,STM0977
phosphosugar phosphatase YigL,b3826,HAD superfamily hydrolase,STM3962
phosphotransferase system enzyme IIA(Ntr),b3204,PTS sugar transporter subunit IIA,STM1616
pimeloyl-acyl carrier protein methyl ester esterase,b3412,biotin synthase,STM0794
PLP homeostasis protein,b2951,YggS family pyridoxal phosphate enzyme,STM3100
Pmp3 family protein YqaE,b2666,proteolipid membrane potential modulator,STM2796
poly(A) polymerase I,b0143,polynucleotide adenylyltransferase,STM0184
"poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine <i>N</i>-deacetylase and &beta;-1,6 glycoside hydrolase",b1023,,
polynucleotide phosphorylase,b3164,polyribonucleotide nucleotidyltransferase,STM3282
polyphosphate kinase,b2501,RNA degradosome polyphosphate kinase,STM2501
polysaccharide co-polymerase family protein FepE,b0587,LPS O-antigen length regulator,STM0589
porphobilinogen synthase,b0369,delta-aminolevulinic acid dehydratase,STM0372
porphyrinogen peroxidase,b2431,,
"potassium dependent, small conductance mechanosensitive channel",b0465,putative small-conductance mechanosensitive channel,STM0478
PQQ-like domain-containing protein YncE,b1452,Uncharacterized protein,STM1586
prepilin-type N-terminal cleavage/methylation domain-containing protein PpdA,b2826,prepilin peptidase dependent protein A,STM3000
prepilin-type N-terminal cleavage/methylation domain-containing protein PpdB,b2825,prepilin peptidase dependent protein B,STM2999
prepilin-type N-terminal cleavage/methylation domain-containing protein PpdC,b2823,prepilin peptidase dependent protein C,STM2997
prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,b0108,prepilin peptidase-dependent pilin,STM0144
primosomal protein DnaT,b4362,primosomal protein,STM4544
primosomal protein N',b3935,factor Y,STM4095
primosomal replication protein N,b4201,primosomal replication protein N,STM0481
primosomal replication protein N'',b0467,primosomal replication protein N,STM0481
probable <i>N</i>-acetylmannosamine-6-phosphate 2-epimerase,b3223,N-acetylmannosamine-6-phosphate 2-epimerase,STM1129
probable diguanylate cyclase DgcT,b1025,,
probable inner membrane protein Smp,b4387,Protein,STM3404
proline&mdash;tRNA ligase,b0194,proline--tRNA ligase,STM0242
proline:Na<sup>+</sup> symporter,b1015,sodium/proline symporter,STM1125
proofreading thioesterase in enterobactin biosynthesis,b0597,thioesterase,STM1366
prophage P2 late control protein OgrK,b2082,,
propionate kinase,b3115,propionate/acetate kinase,STM3242
propionyl-CoA synthetase,b0335,propionate--CoA ligase,STM0371
propionyl-CoA:succinate CoA transferase,b2920,,
protease 3,b2821,pitrilysin,STM2995
protease activator YjfN,b4188,putative inner membrane protein,STM1849
protease ElaD,b2269,,
protease HtpX,b1829,zinc metalloprotease,STM1844
"protease IV, a signal peptide peptidase",b1766,signal peptide peptidase,STM1295
protein <i>N</i>-acetyltransferase RimI,b4373,ribosomal-protein-alanine N-acetyltransferase,STM4558
protein <i>S</i>-nitrosylase,b0873,hydroxylamine reductase,STM0937
protein adenylyltransferase SelO,b1706,hypothetical protein,STM0387
protein AmpE,b0111,regulatory signaling modulator protein,STM0147
protein AroM,b0390,AroM protein,STM0390
protein chain elongation factor EF-P,b4147,elongation factor P,STM4334
protein chain elongation factor EF-Ts,b0170,translation elongation factor Ts,STM0217
protein disaggregase ClpB,b2592,ATP-dependent chaperone,STM2660
protein disulfide isomerase DsbC,b2893,bifunctional protein-disulfide isomerase/oxidoreductase,STM3043
protein export chaperone SecB,b3609,protein-export chaperone,STM3701
protein FxsA,b4140,suppresses F exclusion of bacteriophage T7,STM4327
protein HemY,b3802,protein for a late step of protoheme IX synthesis,STM3935
protein histidine kinase NtrB,b3869,sensory histidine kinase,STM4173
protein HyaF,b0977,,
protein kinase YeaG,b1783,PrkA family serine protein kinase,STM1285
protein kinase-like domain-containing protein YrbL,b3207,putative cytoplasmic protein,STM0383
protein MoaB,b0782,molybdenum cofactor biosynthesis protein B,STM0803
protein RhsD,b0497,,
protein RseC,b2570,SoxR reducing system protein,STM2637
protein SlyX,b3348,lysis protein,STM3454
protein Smf,b4473,DNA-protecting protein,STM3405
protein SseB,b2522,,
protein sulfenic acid reductase and chaperone DsbG,b0604,thiol:disulfide interchange protein,STM0607
protein thiol:quinone oxidoreductase DsbB,b1185,a [DsbB protein],
protein translocation ATPase,b0098,preprotein translocase subunit,STM0406
protein ViaA,b3745,putative inner membrane protein,STM1849
protein YaiA,b0389,putative cytoplasmic protein,STM0383
protein YbjN,b0853,putative cytoplasmic protein,STM0383
protein YceI,b1056,Protein,STM3404
protein YciI,b1251,putative cytoplasmic protein,STM0383
protein YciN,b1273,putative cytoplasmic protein,STM0383
protein YejG,b2181,putative cytoplasmic protein,STM0383
protein YfdX,b2375,,
protein YgbA,b2732,putative cytoplasmic protein,STM0383
protein YgfX,b2896,Phosphoethanolamine transferase,STM4118
protein YggI,b2944,SprT family protein,STM3092
protein YibT,b4554,Uncharacterized protein,STM1586
protein YjeJ,b4145,putative inner membrane protein,STM1849
protein YoaL,b4751,,
protein YodC,b1957,,
protein YqeJ,b2848,,
protein YqgC,b2940,putative cytoplasmic protein,STM0383
protein-(glutamine-N5) methyltransferase,b1212,release factor glutamine methyltransferase,STM1775
protein-glutamate methylesterase/protein glutamine deamidase,b1883,chemotaxis response regulator protein-glutamate methylesterase,STM1917
protein-L-isoaspartate <i>O</i>-methyltransferase,b2743,protein-L-isoaspartate O-methyltransferase,STM2926
protein-L-methionine sulfoxide reductase catalytic subunit MsrP,b1971,mononuclear molybdenum enzyme,STM3377
protein-lysine deacetylase/desuccinylase/delipoylase,b1120,protein acetyllysine <em>N</em>-acetyltransferase Cob<sub>L</sub>,
protein-PII uridylyltransferase/uridylyl-removing enzyme,b0167,[protein-PII] uridylyltransferase,STM0214
